Subject,Test_Acc,Best_Acc,Best_Epoch,Train_Subjects,Val_Acc,Best_Val_Epoch,Actual_Epochs,Stopped_Early
sub-08,51.0%,51.0%,0,16,nan%,0,50,False
sub-09,49.5%,49.5%,0,16,nan%,0,50,False
sub-11,54.0%,54.0%,0,16,nan%,0,50,False
sub-16,46.0%,46.0%,0,16,nan%,0,50,False
sub-17,49.5%,49.5%,0,16,nan%,0,50,False
sub-23,47.5%,47.5%,0,16,nan%,0,50,False
sub-24,45.5%,45.5%,0,16,nan%,0,50,False
sub-25,41.5%,41.5%,0,16,nan%,0,50,False
sub-26,47.5%,47.5%,0,16,nan%,0,50,False
sub-27,49.5%,49.5%,0,16,nan%,0,50,False
sub-28,50.0%,50.0%,0,16,nan%,0,50,False
sub-29,54.5%,54.5%,0,16,nan%,0,50,False
sub-30,51.0%,51.0%,0,16,nan%,0,50,False
sub-31,53.0%,53.0%,0,16,nan%,0,50,False
sub-36,50.0%,50.0%,0,16,nan%,0,50,False
sub-37,45.0%,45.0%,0,16,nan%,0,50,False
sub-49,52.5%,52.5%,0,16,nan%,0,50,False
